"name","year","kilom","fuel","trans","owner","mileage","engine","power","seats","pricedol"
"Tata Nano XT","2011","50000","Petrol","Manual","Second","23.9","624","37.48","4","10500"
"Tata Nano XT","2017","14149","Petrol","Manual","First","23.9","624","37.48","4","48580"
"Tata Nano STD SE","2012","80000","Petrol","Manual","Second","25.4","624","37.5","4","7420"
"Tata Nano Twist XT","2014","18000","Petrol","Manual","Second","25.4","624","37.5","4","14000"
"Tata Nano Twist XT","2014","18050","Petrol","Manual","Second","25.4","624","37.5","4","14000"
"Tata Nano LX","2013","4700","Petrol","Manual","First","25.4","624","37.48","4","16800"
"Tata Nano CX","2014","59508","Petrol","Manual","First","25.4","624","37.48","4","17640"
"Tata Nano LX SE","2014","19698","Petrol","Manual","First","25.4","624","37.5","4","21420"
"Tata Nano Lx BSIV","2011","35000","Petrol","Manual","First","25.4","624","37.48","4","22400"
"Tata Nano Twist XT","2014","16810","Petrol","Manual","First","25.4","624","37.5","4","22400"
"Tata Nano Cx BSIV","2014","42083","Petrol","Manual","First","25.4","624","37.48","4","23520"
"Tata Nano Twist XT","2015","19963","Petrol","Manual","Second","25.4","624","37.5","4","24360"
"Tata Nano Twist XT","2015","25811","Petrol","Manual","Second","25.4","624","37.5","4","29820"
"Tata Nano Twist XT","2014","25500","Petrol","Manual","First","25.4","624","37.5","4","30100"
"Tata Nano Twist XT","2015","30676","Petrol","Manual","First","25.4","624","37.5","4","40600"
"Tata Nano Lx","2011","65000","Petrol","Manual","Second","26","624","35","4","6160"
"Tata Nano Cx","2010","57000","Petrol","Manual","First","26","624","35","4","7000"
"Tata Nano Lx BSIV","2012","4187","Petrol","Manual","First","26","624","35","4","19320"
"Tata Nano Lx","2013","37287","Petrol","Manual","First","26","624","35","4","24360"
"Maruti 800 Std BSIII","2004","12000","Petrol","Manual","Second","16.1","796","37","4","6300"
"Maruti 800 Std","2003","52000","Petrol","Manual","First","16.1","796","37","4","7000"
"Maruti 800 Std","2002","75000","Petrol","Manual","First","16.1","796","37","4","7140"
"Maruti 800 DX BSII","2000","78000","Petrol","Manual","First","16.1","796","37","4","7700"
"Maruti 800 Std BSIII","2002","53500","Petrol","Manual","Second","16.1","796","37","4","8820"
"Maruti 800 AC","2007","59000","Petrol","Manual","First","16.1","796","37","4","10500"
"Maruti 800 AC Uniq","2009","22100","Petrol","Manual","Second","16.1","796","37","4","11200"
"Maruti 800 DX BSII","2009","32000","Petrol","Manual","First","16.1","796","37","4","12600"
"Maruti 800 Std BSIII","2006","165000","Petrol","Manual","First","16.1","796","37","4","12600"
"Maruti 800 AC","2010","70000","Petrol","Manual","Second","16.1","796","37","4","12600"
"Maruti 800 AC","2007","72000","Petrol","Manual","Third","16.1","796","37","4","14000"
"Maruti 800 AC BSIII","2011","83969","Petrol","Manual","First","16.1","796","37","4","18200"
"Maruti Alto 800 2016-2019 CNG LXI","2012","65537","CNG","Manual","Second","33.44","796","40.3","4","29400"
"Maruti Alto 800 2016-2019 CNG LXI","2015","18000","CNG","Manual","First","33.44","796","40.3","4","42000"
"Maruti Alto 800 2016-2019 CNG LXI","2018","10600","CNG","Manual","First","33.44","796","40.3","4","49000"
"Maruti Alto 800 2016-2019 CNG LXI","2017","24310","CNG","Manual","First","33.44","796","40.3","4","51800"
"Maruti Alto K10 LXI CNG","2015","59525","CNG","Manual","Second","32.26","998","58.2","4","43400"
"Maruti Alto K10 LXI CNG Optional","2018","44202","CNG","Manual","First","32.26","998","58.2","4","56000"
"Mini Cooper 3 DOOR D","2016","20000","Diesel","Automatic","First","20.7","1496","113.98","4","329000"
"Mini Cooper 3 DOOR D","2016","32298","Diesel","Automatic","First","20.7","1496","113.98","4","333200"
"Mini Cooper 3 DOOR D","2015","27641","Diesel","Automatic","Second","20.7","1496","113.98","4","346780"
"Mini Cooper S","2012","37000","Petrol","Automatic","Second","13.6","1598","181","4","238000"
"Mini Cooper S Carbon Edition","2012","18000","Petrol","Automatic","First","13.6","1598","181","4","308000"
"Mini Cooper S Carbon Edition","2013","52000","Petrol","Automatic","First","13.6","1598","181","4","350000"
"Mini Cooper S Carbon Edition","2018","2971","Petrol","Automatic","First","13.6","1598","181","4","556500"
"Mini Cooper Convertible 1,6","2015","20000","Petrol","Automatic","First","18.86","1598","122","4","448000"
"Volkswagen Polo GTI","2015","60007","Petrol","Automatic","First","17.21","1798","189","4","63000"
"Volkswagen Polo GTI","2014","35059","Petrol","Automatic","First","17.21","1798","189","4","80500"
"Volkswagen Beetle 2,0","2009","27078","Petrol","Automatic","First","10.98","1984","114.4","4","223300"
"Audi TT 40 TFSI","2012","7000","Petrol","Automatic","First","14.33","1984","226.6","4","490000"
"Chevrolet Cruze LTZ AT","2009","73204","Diesel","Automatic","Third","18.1","1991","147.9","4","49000"
"Chevrolet Cruze LTZ AT","2011","60000","Diesel","Automatic","First","18.1","1991","147.9","4","53200"
"Chevrolet Cruze LTZ AT","2012","137008","Diesel","Automatic","First","18.1","1991","147.9","4","65100"
"Chevrolet Cruze LTZ AT","2011","78203","Diesel","Automatic","First","18.1","1991","147.9","4","77000"
"BMW 3 Series 320d Corporate Edition","2008","89000","Diesel","Automatic","Second","16.07","1995","181","4","88200"
"BMW 3 Series 320d Corporate Edition","2012","76000","Diesel","Automatic","First","16.07","1995","181","4","122500"
"BMW 3 Series 320d Corporate Edition","2013","38998","Diesel","Automatic","First","16.07","1995","181","4","238000"
"Mini Cooper Convertible S","2012","17000","Petrol","Automatic","Second","16.82","1998","189.08","4","308000"
"Mini Cooper Convertible S","2014","11900","Petrol","Automatic","First","16.82","1998","189.08","4","399000"
"Mini Cooper Convertible S","2016","15000","Petrol","Automatic","First","16.82","1998","189.08","4","490000"
"Mini Cooper Convertible S","2017","26327","Petrol","Automatic","First","16.82","1998","189.08","4","499380"
"Mini Cooper Convertible S","2017","20469","Petrol","Automatic","First","16.82","1998","189.08","4","503720"
"Mini Cooper 3 DOOR S","2013","21000","Petrol","Automatic","First","17.44","1998","189.08","4","301000"
"Mini Cooper 3 DOOR S","2016","21110","Petrol","Automatic","First","17.44","1998","189.08","4","405300"
"Audi RS5 Coupe","2013","23000","Petrol","Automatic","First","11.05","2894","444","4","518000"
"Audi RS5 Coupe","2013","23312","Petrol","Automatic","First","11.05","2894","444","4","567000"
"Porsche Panamera Diesel","2013","40000","Diesel","Automatic","Second","17.85","2967","300","4","630000"
"Porsche Panamera Diesel","2013","48000","Diesel","Automatic","Second","17.85","2967","300","4","707000"
"Porsche Panamera Diesel","2015","54996","Diesel","Automatic","First","17.85","2967","300","4","853300"
"Porsche Panamera Diesel","2015","25100","Diesel","Automatic","First","17.85","2967","300","4","1050000"
"Porsche Panamera Diesel","2013","19828","Diesel","Automatic","Second","17.85","2967","300","4","1050000"
"Porsche Panamera Diesel 250hp","2014","60033","Diesel","Automatic","First","18.18","2967","250","4","721280"
"BMW 3 Series 330d Convertible","2013","49000","Diesel","Automatic","First","8.2","2993","245","4","406000"
"BMW 3 Series 330d Convertible","2014","51240","Diesel","Automatic","First","8.2","2993","245","4","413280"
"BMW 6 Series 640d Coupe","2013","30000","Diesel","Automatic","First","9.52","2993","313","4","630000"
"BMW 6 Series 640d Gran Coupe","2011","30000","Diesel","Automatic","First","9.52","2993","313","4","686000"
"Jaguar XJ 3,0L Portfolio","2016","12000","Diesel","Automatic","First","10.5","2993","271.23","4","1106000"
"BMW X6 xDrive30d","2011","59000","Diesel","Automatic","First","11.2","2993","241","4","306600"
"BMW X6 xDrive30d","2014","39626","Diesel","Automatic","First","11.2","2993","241","4","569240"
"BMW X6 xDrive30d","2013","45306","Diesel","Automatic","Second","11.2","2993","241","4","595000"
"BMW X6 xDrive 40d","2013","58000","Diesel","Automatic","First","11.2","2993","306","4","672000"
"Jaguar XJ 3,0L Premium Luxury","2012","50000","Diesel","Automatic","First","12.9","2993","271.23","4","630000"
"BMW 6 Series Gran Coupe","2013","21000","Diesel","Automatic","Second","17.54","2993","313","4","616000"
"BMW 6 Series Gran Coupe","2013","30000","Diesel","Automatic","First","17.54","2993","313","4","630000"
"BMW 6 Series Gran Coupe","2018","20004","Diesel","Automatic","First","17.54","2993","313","4","965160"
"Mercedes-Benz E-Class E400 Cabriolet","2015","7501","Petrol","Automatic","First","10","2996","333","4","672000"
"Mercedes-Benz CLS-Class 2006-2010 350 CDI","2010","29000","Diesel","Automatic","First","9.9","3498","271.72","4","448000"
"BMW 6 Series 650i Coupe","2010","65329","Petrol","Automatic","First","7.94","4395","450","4","290080"
"BMW 6 Series 630i Coupe","2011","5900","Petrol","Automatic","First","7.94","4395","450","4","665000"
"Porsche Panamera 2010 2013 Diesel","2013","36400","Diesel","Automatic","First","7.5","4806","394.3","4","1008000"
"Porsche Panamera 2010 2013 4S","2010","42400","Petrol","Automatic","Third","8","4806","394.3","4","600740"
"Ford Mustang V8","2018","21290","Petrol","Automatic","First","13","4951","395","4","795200"
"Jaguar XJ 5,0 L V8 Supercharged","2011","43686","Petrol","Automatic","First","10.5","5000","503","4","709240"
"Bentley Continental Flying Spur","2006","48000","Petrol","Automatic","First","8.6","5998","552","4","826000"
"Mahindra E Verito D4","2016","50000","Electric","Automatic","First","","72","41","5","182000"
"Maruti Celerio ZDi","2015","33517","Diesel","Manual","First","27.62","793","47","5","43400"
"Maruti Celerio LDi","2016","80219","Diesel","Manual","First","27.62","793","47","5","49000"
"Maruti Celerio ZDi","2015","42000","Diesel","Manual","First","27.62","793","47","5","50400"
"Maruti Celerio ZDi","2015","42150","Diesel","Manual","First","27.62","793","47","5","50400"
"Maruti Omni 8 Seater BSIV","2011","39000","Petrol","Manual","First","14","796","35","5","21000"
"Maruti Omni 8 Seater BSIV","2012","71791","Petrol","Manual","First","14","796","35","5","28700"
"Maruti Omni 8 Seater BSIV","2015","52950","Petrol","Manual","First","14","796","35","5","32900"
"Maruti Omni 5 Str STD","2010","93850","Petrol","Manual","First","14","796","35","5","33740"
"Maruti Omni 8 Seater BSIV","2013","34834","Petrol","Manual","First","14","796","35","5","36400"
"Maruti Omni 8 Seater BSIV","2017","21260","Petrol","Manual","First","14","796","35","5","40600"
"Maruti Omni 8 Seater BSIV","2017","24571","Petrol","Manual","First","14","796","35","5","40600"
"Maruti Omni 8 Seater BSIV","2016","55137","Petrol","Manual","First","14","796","35","5","43540"
"Maruti Omni 5 Seater BSIV","2019","4721","Petrol","Manual","First","14","796","35","5","57540"
"Maruti Omni MPI CARGO BSIV","2015","23000","Petrol","Manual","First","16.8","796","34.2","5","21000"
"Maruti Omni MPI STD BSIV","2012","126000","Petrol","Manual","First","16.8","796","34.2","5","22400"
"Maruti Omni MPI STD BSIV","2017","15473","Petrol","Manual","First","16.8","796","34.2","5","50120"
"Maruti Alto VXi","2011","11000","Petrol","Manual","Third","18.9","796","47","5","40600"
"Maruti Alto Std","2005","49000","Petrol","Manual","First","19.7","796","46.3","5","12600"
"Maruti Alto LX","2010","125000","Petrol","Manual","First","19.7","796","46.3","5","12880"
"Maruti Alto LXi BSII","2003","69966","Petrol","Manual","First","19.7","796","46.3","5","13300"
"Maruti Alto LX","2009","68078","Petrol","Manual","First","19.7","796","46.3","5","14280"
"Maruti Alto LXi","2008","42000","Petrol","Manual","First","19.7","796","46.3","5","15260"
"Maruti Alto LXi","2008","38000","Petrol","Manual","First","19.7","796","46.3","5","15400"
"Maruti Alto LXi BSII","2008","54000","Petrol","Manual","First","19.7","796","46.3","5","15400"
"Maruti Alto LXi","2008","26299","Petrol","Manual","First","19.7","796","46.3","5","16800"
"Maruti Alto LXi BSIII","2008","68000","Petrol","Manual","Third","19.7","796","46.3","5","16800"
"Maruti Alto LX BSIII","2007","72000","Petrol","Manual","Second","19.7","796","46.3","5","16800"
"Maruti Alto LXi","2008","90000","Petrol","Manual","Second","19.7","796","46.3","5","17500"
"Maruti Alto LXi","2007","18700","Petrol","Manual","Second","19.7","796","46.3","5","17500"
"Maruti Alto Std","2004","81500","Petrol","Manual","Second","19.7","796","46.3","5","18200"
"Maruti Alto LXi","2006","56000","Petrol","Manual","Second","19.7","796","46.3","5","19600"
"Maruti Alto LXi","2009","35000","Petrol","Manual","First","19.7","796","46.3","5","21000"
"Maruti Alto LXi","2009","63000","Petrol","Manual","First","19.7","796","46.3","5","21000"
"Maruti Alto LXi","2006","68000","Petrol","Manual","First","19.7","796","46.3","5","21000"
"Maruti Alto LXi","2010","66000","Petrol","Manual","First","19.7","796","46.3","5","21000"
"Maruti Alto LXi","2011","100000","Petrol","Manual","First","19.7","796","46.3","5","21000"
"Maruti Alto LXi","2010","38127","Petrol","Manual","First","19.7","796","46.3","5","21700"
"Maruti Alto LXi","2008","65000","Petrol","Manual","First","19.7","796","46.3","5","22260"
"Maruti Alto LXi BSIII","2010","94385","Petrol","Manual","Second","19.7","796","46.3","5","22400"
"Maruti Alto LXi","2007","76161","Petrol","Manual","First","19.7","796","46.3","5","23100"
"Maruti Alto LXi BSIII","2009","35000","Petrol","Manual","First","19.7","796","46.3","5","23800"
"Maruti Alto LXi BSIII","2008","66000","Petrol","Manual","First","19.7","796","46.3","5","23800"
"Maruti Alto LXi","2007","52195","Petrol","Manual","First","19.7","796","46.3","5","24500"
"Maruti Alto LXI","2007","52195","Petrol","Manual","First","19.7","796","46.3","5","24500"
"Maruti Alto LXi BSIII","2006","71993","Petrol","Manual","First","19.7","796","46.3","5","25200"
"Maruti Alto LXi BSIII","2009","85000","Petrol","Manual","Second","19.7","796","46.3","5","25200"
"Maruti Omni MPI CARGO BSIII W/ IMMOBILISER","2011","35000","Petrol","Manual","Third","19.7","796","35","5","25900"
"Maruti Alto LXi BSIII","2010","73513","Petrol","Manual","First","19.7","796","46.3","5","25900"
"Maruti Alto LX","2010","94753","Petrol","Manual","First","19.7","796","46.3","5","27300"
"Maruti Alto LXi","2011","75000","Petrol","Manual","First","19.7","796","46.3","5","29400"
"Maruti Alto LXi","2011","76976","Petrol","Manual","Second","19.7","796","46.3","5","30100"
"Maruti Alto LXi","2009","65090","Petrol","Manual","First","19.7","796","46.3","5","30100"
"Maruti Alto LXi","2012","38000","Petrol","Manual","First","19.7","796","46.3","5","31500"
"Maruti Alto LXi BSIII","2011","64000","Petrol","Manual","First","19.7","796","46.3","5","33460"
"Maruti Alto LXi BSII","2011","28619","Petrol","Manual","First","19.7","796","46.3","5","33600"
"Maruti Alto LXi BSIII","2012","14814","Petrol","Manual","Second","19.7","796","46.3","5","34580"
"Maruti Alto LXi BSIII","2012","67147","Petrol","Manual","First","19.7","796","46.3","5","36400"
"Maruti Alto LXi","2012","49008","Petrol","Manual","First","19.7","796","46.3","5","40320"
"Maruti Alto LXi BSIII","2010","59136","Petrol","Manual","First","19.7","796","46.3","5","41440"
"Maruti Alto LXi","2010","48105","Petrol","Manual","First","19.7","796","46.3","5","43400"
"Maruti Alto 800 LXI","2013","56840","Petrol","Manual","First","22.74","796","47.3","5","21700"
"Maruti Alto 800 VXI","2014","32000","Petrol","Manual","Second","22.74","796","47.3","5","29400"
"Maruti Alto 800 LXI","2015","61000","Petrol","Manual","First","22.74","796","47.3","5","30100"
"Maruti Alto 800 VXI","2015","11110","Petrol","Manual","First","22.74","796","47.3","5","32900"
"Maruti Alto 800 LXI","2015","24617","Petrol","Manual","First","22.74","796","47.3","5","33040"
"Maruti Alto 800 LXI","2013","86000","Petrol","Manual","First","22.74","796","47.3","5","33740"
"Maruti Alto 800 VXI","2014","45700","Petrol","Manual","Second","22.74","796","47.3","5","33880"
"Maruti Alto 800 VXI","2016","24300","Petrol","Manual","First","22.74","796","47.3","5","34160"
"Maruti Alto 800 LXI","2015","63714","Petrol","Manual","First","22.74","796","47.3","5","34300"
"Maruti Alto 800 LXI","2013","30852","Petrol","Manual","First","22.74","796","47.3","5","34860"
"Maruti Alto 800 LXI","2015","96000","Petrol","Manual","First","22.74","796","47.3","5","35000"
"Maruti Alto 800 LXI","2013","30000","Petrol","Manual","First","22.74","796","47.3","5","35000"
"Maruti Alto 800 VXI","2016","26000","Petrol","Manual","First","22.74","796","47.3","5","36400"
"Maruti Alto 800 LXI","2014","58500","Petrol","Manual","First","22.74","796","47.3","5","38500"
"Maruti Alto 800 LXI Airbag","2015","50000","Petrol","Manual","First","22.74","796","47.3","5","38500"
"Maruti Alto 800 LXI","2015","25000","Petrol","Manual","First","22.74","796","47.3","5","38500"
"Maruti Alto 800 LXI","2017","2196","Petrol","Manual","First","22.74","796","47.3","5","38500"
"Maruti Alto 800 LXI","2015","21000","Petrol","Manual","First","22.74","796","47.3","5","39060"
"Maruti Alto 800 LXI","2016","9370","Petrol","Manual","First","22.74","796","47.3","5","41300"
"Maruti Alto 800 LXI","2015","21652","Petrol","Manual","First","22.74","796","47.3","5","42140"
"Maruti Alto 800 LXI","2016","51639","Petrol","Manual","First","22.74","796","47.3","5","42560"
"Maruti Alto 800 LXI","2017","30000","Petrol","Manual","First","22.74","796","47.3","5","43400"
"Maruti Alto 800 VXI","2017","38000","Petrol","Manual","First","22.74","796","47.3","5","43540"
"Maruti Alto 800 LXI","2016","32227","Petrol","Manual","First","22.74","796","47.3","5","45640"
"Maruti Alto 800 LXI","2017","27718","Petrol","Manual","First","22.74","796","47.3","5","45920"
"Maruti Alto 800 LXI","2017","54250","Petrol","Manual","First","22.74","796","47.3","5","49140"
"Maruti Alto 800 LXI","2016","34267","Petrol","Manual","First","22.74","796","47.3","5","52360"
"Maruti Alto 800 VXI","2016","18043","Petrol","Manual","First","22.74","796","47.3","5","57680"
"Maruti Alto 800 2016-2019 LXI","2013","24027","Petrol","Manual","First","24.7","796","47.3","5","28140"
"Maruti Alto 800 2016-2019 LXI","2013","56000","Petrol","Manual","First","24.7","796","47.3","5","29400"
"Maruti Alto 800 2016-2019 LXI","2016","31000","Petrol","Manual","First","24.7","796","47.3","5","30100"
"Maruti Alto 800 2016-2019 LXI Optional","2015","63714","Petrol","Manual","First","24.7","796","47.3","5","34300"
"Maruti Alto 800 2016-2019 VXI","2016","31006","Petrol","Manual","First","24.7","796","47.3","5","36540"
"Maruti Alto 800 2016-2019 LXI","2016","60000","Petrol","Manual","First","24.7","796","47.3","5","37100"
"Maruti Alto 800 2016-2019 LXI","2016","35000","Petrol","Manual","First","24.7","796","47.3","5","37100"
"Maruti Alto 800 2016-2019 LXI","2014","73000","Petrol","Manual","Second","24.7","796","47.3","5","38500"
"Maruti Alto 800 2016-2019 LXI","2016","24000","Petrol","Manual","First","24.7","796","47.3","5","39200"
"Maruti Alto 800 2016-2019 LXI","2016","5700","Petrol","Manual","First","24.7","796","47.3","5","39200"
"Maruti Alto 800 2016-2019 LXI","2018","26200","Petrol","Manual","First","24.7","796","47.3","5","40600"
"Maruti Alto 800 2016-2019 LXI","2016","61000","Petrol","Manual","First","24.7","796","47.3","5","40600"
"Maruti Alto 800 2016-2019 VXI","2016","4000","Petrol","Manual","First","24.7","796","47.3","5","42000"
"Maruti Alto 800 2016-2019 VXI","2017","2530","Petrol","Manual","First","24.7","796","47.3","5","46200"
"Maruti Alto 800 2016-2019 LXI","2018","11000","Petrol","Manual","First","24.7","796","47.3","5","46900"
"Maruti Alto 800 2016-2019 LXI Optional","2019","3000","Petrol","Manual","First","24.7","796","47.3","5","49000"
"Maruti Alto 800 2016-2019 VXI","2019","171","Petrol","Manual","First","24.7","796","47.3","5","50400"
"Maruti Alto 800 2016-2019 VXI","2019","19855","Petrol","Manual","First","24.7","796","47.3","5","53200"
"Maruti Alto 800 2016-2019 VXI","2018","26234","Petrol","Manual","First","24.7","796","47.3","5","60060"
"Maruti Alto Green LXi (CNG)","2012","65537","CNG","Manual","First","26.83","796","38.4","5","29400"
"Maruti Alto Green LXi (CNG)","2012","92000","CNG","Manual","Second","26.83","796","38.4","5","29400"
"Maruti Alto 800 CNG LXI","2013","26200","CNG","Manual","First","30.46","796","47.3","5","30100"
"Datsun redi-GO T","2016","15000","Petrol","Manual","First","22.7","799","53.64","5","31500"
"Datsun redi-GO T Option","2016","20487","Petrol","Manual","First","22.7","799","53.64","5","37240"
"Datsun redi-GO S","2016","26239","Petrol","Manual","First","22.7","799","53","5","38500"
"Datsun Redi GO Sport","2017","12000","Petrol","Manual","First","22.7","799","53","5","43400"
"Datsun redi-GO T Option","2017","27509","Petrol","Manual","First","22.7","799","53.64","5","46340"
"Datsun redi-GO T Option","2018","30953","Petrol","Manual","First","22.7","799","53.64","5","48720"
"Datsun redi-GO T Option","2018","6279","Petrol","Manual","First","22.7","799","53.64","5","50400"
"Renault KWID RXL","2016","26000","Petrol","Manual","First","25.17","799","53.3","5","35700"
"Renault KWID RXT","2016","45000","Petrol","Manual","First","25.17","799","53.3","5","36400"
"Renault KWID RXT","2015","28000","Petrol","Manual","First","25.17","799","53.3","5","37100"
"Renault KWID RXT","2016","12500","Petrol","Manual","First","25.17","799","53.3","5","38500"
"Renault KWID RXT","2017","25000","Petrol","Manual","First","25.17","799","53.3","5","41860"
"Renault KWID RXT Optional","2016","16000","Petrol","Manual","First","25.17","799","53.3","5","41860"
"Renault KWID RXT","2016","12500","Petrol","Manual","First","25.17","799","53.3","5","42000"
"Renault KWID RXT","2017","4700","Petrol","Manual","First","25.17","799","53.3","5","42000"
"Renault KWID RXT","2016","53886","Petrol","Manual","First","25.17","799","53.3","5","42980"
"Renault KWID RXT","2016","24000","Petrol","Manual","First","25.17","799","53.3","5","43400"
"Renault KWID RXT","2016","4152","Petrol","Manual","First","25.17","799","53.3","5","44100"
"Renault KWID RXT","2016","73000","Petrol","Manual","First","25.17","799","53.3","5","44800"
"Renault KWID RXT","2016","8554","Petrol","Manual","First","25.17","799","53.3","5","44800"
"Renault KWID RXT","2016","41000","Petrol","Manual","Second","25.17","799","53.3","5","45500"
"Renault KWID RXT","2017","16542","Petrol","Manual","First","25.17","799","53.3","5","46200"
"Renault KWID RXT","2016","48000","Petrol","Manual","First","25.17","799","53.3","5","47600"
"Renault KWID RXL","2018","1000","Petrol","Manual","First","25.17","799","53.3","5","47600"
"Renault KWID RXL","2017","24214","Petrol","Manual","Second","25.17","799","53.3","5","48440"
"Renault KWID RXT","2017","24000","Petrol","Manual","First","25.17","799","53.3","5","49000"
"Renault KWID RXT Optional","2018","5000","Petrol","Manual","First","25.17","799","53.3","5","49000"
"Renault KWID RXT","2016","20229","Petrol","Manual","First","25.17","799","53.3","5","49000"
"Renault KWID RXT Optional","2017","21954","Petrol","Manual","First","25.17","799","53.3","5","51800"
"Renault KWID RXT","2017","32587","Petrol","Manual","First","25.17","799","53.3","5","51940"
"Renault KWID RXT","2016","25000","Petrol","Manual","First","25.17","799","53.3","5","53200"
"Renault KWID RXL","2019","7858","Petrol","Manual","First","25.17","799","53.3","5","53200"
"Renault KWID RXT Optional","2018","1617","Petrol","Manual","First","25.17","799","53.3","5","60060"
"Renault KWID RXT Optional","2018","1900","Petrol","Manual","First","25.17","799","53.3","5","62300"
"Renault KWID RXT Optional","2019","6568","Petrol","Manual","First","25.17","799","53.3","5","71260"
"Hyundai EON Era Plus","2013","70000","Petrol","Manual","First","21.1","814","55.2","5","25200"
"Hyundai EON D Lite Plus","2013","36000","Petrol","Manual","First","21.1","814","55.2","5","27300"
"Hyundai EON D Lite Plus","2014","26008","Petrol","Manual","First","21.1","814","55.2","5","27580"
"Hyundai EON Era Plus","2012","60000","Petrol","Manual","First","21.1","814","55.2","5","27860"
"Hyundai EON D Lite","2013","30000","Petrol","Manual","First","21.1","814","55.2","5","29400"
"Hyundai EON Magna Plus","2015","20800","Petrol","Manual","Second","21.1","814","55.2","5","31500"
"Hyundai EON Magna Plus","2013","20000","Petrol","Manual","Second","21.1","814","55.2","5","32200"
"Hyundai EON Era","2011","68128","Petrol","Manual","First","21.1","814","55.2","5","32200"
"Hyundai EON LPG Era Plus Option","2012","75000","LPG","Manual","First","21.1","814","55.2","5","32900"
"Hyundai EON Era","2014","18000","Petrol","Manual","First","21.1","814","55.2","5","35000"
"Hyundai EON D Lite Plus","2013","84600","Petrol","Manual","Second","21.1","814","55.2","5","35000"
"Hyundai EON D Lite Plus Option","2017","60000","Petrol","Manual","First","21.1","814","55.2","5","35000"
"Hyundai EON Era Plus","2015","91000","Petrol","Manual","First","21.1","814","55.2","5","35000"
"Hyundai EON Era Plus","2015","54680","Petrol","Manual","First","21.1","814","55.2","5","35000"
"Hyundai EON Magna Plus","2012","45000","Petrol","Manual","First","21.1","814","55.2","5","35000"
"Hyundai EON D Lite Plus Option","2016","25350","Petrol","Manual","First","21.1","814","55.2","5","35700"
"Hyundai EON D Lite","2014","20600","Petrol","Manual","First","21.1","814","55.2","5","36400"
"Hyundai EON Era Plus","2013","22000","Petrol","Manual","First","21.1","814","55.2","5","36400"
"Hyundai EON Era Plus","2012","60500","Petrol","Manual","First","21.1","814","55.2","5","36400"
"Hyundai EON Era","2015","28700","Petrol","Manual","First","21.1","814","55.2","5","36400"
"Hyundai EON D Lite Plus","2015","20000","Petrol","Manual","First","21.1","814","55.2","5","37240"
"Hyundai EON Era Plus","2016","11583","Petrol","Manual","First","21.1","814","55.2","5","38500"
"Hyundai EON Era Plus","2015","38000","Petrol","Manual","First","21.1","814","55.2","5","38500"
"Hyundai EON Era Plus","2015","68764","Petrol","Manual","First","21.1","814","55.2","5","40600"
"Hyundai EON Era Plus","2015","66510","Petrol","Manual","First","21.1","814","55.2","5","41300"
"Hyundai EON D Lite Plus","2013","45010","Petrol","Manual","Second","21.1","814","55.2","5","41300"
